time,Imports
2014 Oct,34.762
2014 Nov,34.645
2014 Dec,37.649
2015 Jan,36.04
2015 Feb,35.233
2015 Mar,34.911
2015 Apr,34.155
2015 May,33.813
2015 Jun,33.671
2015 Jul,33.416
2015 Aug,33.173
2015 Sep,32.846
2015 Oct,34.55
2015 Nov,33.367
2015 Dec,32.129
2016 Jan,32.836
2016 Feb,34.38
2016 Mar,35.213
2016 Apr,36.363
2016 May,33.835
2016 Jun,35.576
2016 Jul,36.266
2016 Aug,38.435
2016 Sep,38.457
2016 Oct,36.47
