date,rate
21/08/2014,1.662552
22/08/2014,1.658760
23/08/2014,1.658059
25/08/2014,1.657262
26/08/2014,1.658059
27/08/2014,1.654944
28/08/2014,1.658141
29/08/2014,1.657742
30/08/2014,1.657578
31/08/2014,1.659903
01/09/2014,1.659847
02/09/2014,1.660950
03/09/2014,1.648546
04/09/2014,1.645468
05/09/2014,1.634855
06/09/2014,1.631947
08/09/2014,1.632680
09/09/2014,1.611655
10/09/2014,1.609049
11/09/2014,1.617861
12/09/2014,1.622955
13/09/2014,1.624145
14/09/2014,1.624145
15/09/2014,1.623725
16/09/2014,1.627215
17/09/2014,1.627215
18/09/2014,1.630936
19/09/2014,1.636835
20/09/2014,1.631069
21/09/2014,1.628850
22/09/2014,1.628850
23/09/2014,1.635443
24/09/2014,1.636688
26/09/2014,1.630643
27/09/2014,1.624656
28/09/2014,1.624445
29/09/2014,1.624550
30/09/2014,1.624550
01/10/2014,1.620667
02/10/2014,1.618254
03/10/2014,1.596005
04/10/2014,1.596005
05/10/2014,1.596005
06/10/2014,1.601685
07/10/2014,1.609035
08/10/2014,1.609035
09/10/2014,1.606593
10/10/2014,1.611500
11/10/2014,1.606452
12/10/2014,1.607652
13/10/2014,1.607652
14/10/2014,1.605871
15/10/2014,1.592699
16/10/2014,1.594489
17/10/2014,1.606555
18/10/2014,1.609347
19/10/2014,1.609049
20/10/2014,1.609049
21/10/2014,1.614101
22/10/2014,1.613359
23/10/2014,1.607084
24/10/2014,1.603553
25/10/2014,1.608855
26/10/2014,1.609049
27/10/2014,1.609049
28/10/2014,1.613150
29/10/2014,1.615561
30/10/2014,1.613580
31/10/2014,1.602461
01/11/2014,1.599552
02/11/2014,1.599501
03/11/2014,1.599501
04/11/2014,1.597559
05/11/2014,1.599399
06/11/2014,1.597955
07/11/2014,1.585339
08/11/2014,1.585050
09/11/2014,1.586999
10/11/2014,1.586999
11/11/2014,1.587415
12/11/2014,1.587654
13/11/2014,1.581753
14/11/2014,1.572686
15/11/2014,1.565153
16/11/2014,1.566956
17/11/2014,1.566956
18/11/2014,1.564933
19/11/2014,1.564872
20/11/2014,1.566735
21/11/2014,1.568332
22/11/2014,1.567410
23/11/2014,1.566048
24/11/2014,1.566048
25/11/2014,1.570265
26/11/2014,1.571771
27/11/2014,1.578432
28/11/2014,1.571709
29/11/2014,1.563551
30/11/2014,1.565398
01/12/2014,1.565398
02/12/2014,1.573119
03/12/2014,1.563942
04/12/2014,1.570500
05/12/2014,1.570870
06/12/2014,1.559770
07/12/2014,1.558348
08/12/2014,1.558348
09/12/2014,1.563453
10/12/2014,1.569034
11/12/2014,1.569058
12/12/2014,1.571907
13/12/2014,1.572401
14/12/2014,1.571759
15/12/2014,1.571759
16/12/2014,1.564970
17/12/2014,1.572747
18/12/2014,1.564847
19/12/2014,1.566833
20/12/2014,1.561670
21/12/2014,1.562598
22/12/2014,1.562598
23/12/2014,1.561902
24/12/2014,1.551494
25/12/2014,1.555004
26/12/2014,1.555900
27/12/2014,1.555573
28/12/2014,1.555948
29/12/2014,1.555948
30/12/2014,1.552180
31/12/2014,1.556723
04/01/2015,1.532743
05/01/2015,1.532743
06/01/2015,1.523450
07/01/2015,1.517554
08/01/2015,1.507034
09/01/2015,1.511362
10/01/2015,1.514933
11/01/2015,1.515909
12/01/2015,1.515909
13/01/2015,1.515852
14/01/2015,1.517232
15/01/2015,1.522939
